product_id,1.0,2.0,3.0,4.0,5.0
030167910X,3.0,,,,
0304016489,5.0,,,,
B00008KA7R,501.0,501.0,501.0,501.0,501.0
B0000AQMGZ,,,,49.0,49.0
B0000AQMI2,,,,43.0,43.0
B0000AUY6B,,,,,39.0
B0000AW09Q,,,,112.0,112.0
B0000AW0FY,,,,112.0,112.0
B0000AZ4XK,74.0,,74.0,,74.0
B0000DZGML,,19.0,,,19.0
B0000E09NA,,,,,26.0
B0001DYRH8,129.0,,129.0,129.0,129.0
B0001WAPQ6,324.0,324.0,324.0,324.0,324.0
B000213EIC,83.0,83.0,83.0,83.0,83.0
B000229JU8,39.0,39.0,39.0,39.0,39.0
B00023CFVM,,,,,244.0
B00029PB1W,,,,,471.0
B0002KQFDO,,,,,17.0
B0002KQFE8,,,,,27.0
B0002KQFEI,,,,,47.0
B0002KQFES,,,7.0,,
B0002M9ANY,,,,,19.0
B0002XVJZ0,,,,,10076.0
B00069D82M,,,10.0,,10.0
B0006HCOGA,,,,,15.0
B0006U67GK,,,,12.0,12.0
B00076RC0I,291.0,291.0,,291.0,291.0
B00076RC0S,291.0,291.0,291.0,291.0,291.0
B0007XOK42,,,47.0,,47.0
B00093IWVW,,,,,61.0
B0009DVP6Q,206.0,206.0,206.0,206.0,206.0
B000A6VO04,,,,,48.0
B000AA2XQ4,,,181.0,181.0,181.0
B000ASB65K,18.0,,,,18.0
B000AXTJXG,,,,,16.0
B000BYCQ2U,,,143.0,143.0,143.0
B000FGC75U,,,,,19.0
B000FZWMQK,,,,,13.0
B000G67LFK,,,,9.0,
B000GF1UK8,,,,,15.0
B000GFIC9U,,,63.0,63.0,63.0
B000GZ30MO,181.0,181.0,181.0,181.0,181.0
B000H85ZU0,19.0,,,,
B000H86C9I,2169.0,2169.0,2169.0,2169.0,2169.0
B000HHFB0A,244.0,,,244.0,244.0
B000HHJEVC,,244.0,244.0,,
B000HHJF2U,,,244.0,,244.0
B000HHLHSK,,,,244.0,244.0
B000HHMCQ6,,,,,674.0
B000HHO5KC,116.0,,116.0,,116.0
B000KJJX0Y,,1001.0,1001.0,1001.0,1001.0
B000LGG82M,,,291.0,291.0,291.0
B000LVK2C4,,,,,11.0
B000M30ZDM,,,,362.0,362.0
B000M4X1CS,,50.0,,,50.0
B000MUS35M,,,,,30.0
B000MWDS8C,,,,,162.0
