product_id,1.0,2.0,3.0,4.0,5.0
4639725450,,,,83.0,83.0
5625854246,,,,,54.0
5633336534,208.0,,208.0,,208.0
5812111006,,,,,55.0
5858666426,,,188.0,,188.0
B00002N5Q7,,,,6.0,6.0
B0000302TT,,49.0,,49.0,49.0
B00004WBI0,,,,,8.0
B00006ID40,143.0,143.0,143.0,143.0,143.0
B0000DD1L6,,,,,1.0
B0000DD3BQ,,,,,5.0
B00011JT5A,,9.0,,,
B000184Z1G,223.0,223.0,223.0,223.0,223.0
B0001Y6DUG,,,,,2.0
B0001ZYNES,29.0,,,,29.0
B000270BG4,,,,,36.0
B0002EZQAI,,,,,2.0
B0002GRKK0,86.0,,86.0,86.0,86.0
B0002NYCW2,,,,,10.0
B0002QB9NE,13060.0,13060.0,13060.0,13060.0,13060.0
B0002YTP5U,,,,,54.0
B0002YXDK8,18.0,,,,18.0
B00065DPFG,504.0,,504.0,504.0,504.0
B0006B65RA,,,2.0,2.0,
B0006B661K,349.0,,349.0,,349.0
B0006N73GA,,,,,7.0
B0006O5K2S,,,,,7.0
B0007OYNY8,,,,,5.0
B00084W4RU,,,,1.0,
B0008E4CCA,,,,,34.0
B0008E93TW,,,,,34.0
B0008Z82TS,,,,,20.0
B0008Z844G,,,,,21.0
B0009F3U1M,,,,,6.0
B000A408YE,,18.0,18.0,18.0,18.0
B000AFEYM0,,,,,147.0
B000AON026,,,100.0,,100.0
B000BPC106,,,,,10.0
B000BPNP7O,408.0,408.0,408.0,408.0,408.0
B000BQUJ2M,,,38.0,,38.0
B000BRC2M6,35.0,,,,35.0
B000C2DYIQ,,,,,8.0
B000CE8RL8,,,,,109.0
B000CED1T6,,,,,145.0
B000CEMSWM,,,,,2.0
B000CNTPYM,,,,,6.0
B000EWYASM,174.0,,174.0,174.0,174.0
B000FAMFL2,,,,,11.0
B000FIUV24,,,,4.0,
B000FJRY3M,148.0,,148.0,,148.0
B000GJJ3GW,,,,,13.0
B000HAANN2,,,,,2.0
B000HHS97M,,,,35.0,35.0
B000HLJTPE,,,,23.0,
B000HM9MZ0,,,,,18.0
B000IDNASS,,,,71.0,
B000KB46Z4,,,,,6.0
B000KKPFXC,,,,,3.0
B000KL07NO,,,55.0,55.0,55.0
B000M37AB2,,,,172.0,
B000MLA8WW,,,,170.0,
B000N3ED6G,,,,35.0,35.0
B000N4K670,,,,4.0,
B000ND18GY,,,,,8.0
B000NIBW38,,46.0,,,46.0
B000NMDWZK,,,,,71.0
B000NVNRPQ,,,,86.0,86.0
B000P3XA9A,,,,,122.0
B000PJ83G4,,,,,473.0
B000QDNOS6,,,,31.0,31.0
B000RAZQJS,122.0,122.0,,122.0,122.0
B000RB40US,189.0,189.0,189.0,189.0,189.0
B000RB40VC,560.0,560.0,560.0,560.0,560.0
B000RB40WQ,79.0,,,79.0,
B000RB5ZQ6,146.0,146.0,146.0,146.0,146.0
B000RSLH1Q,,,,,223.0
B000S0S298,,,,3.0,
B000T7XCWW,14.0,,,,
B000TA3H74,,,,9.0,
B000TF6MDK,,1.0,,,
B000W9LR56,,,,,69.0
B000Y9CUBE,,,,,18.0
B001035QFK,,,52.0,,52.0
B001037P40,,,,,3.0
B001037P9U,,,5.0,,
B0010OABW2,,,,83.0,83.0
B001131E0K,21.0,,,,21.0
B00117ETXA,,4.0,,,
B00121UVU0,18025.0,18025.0,18025.0,18025.0,18025.0
B00126MTUA,,,,,464.0
B0014CA3CS,,,,,24.0
B0015BNV7M,,,,,71.0
B0015C9FPI,,,35189.0,,
B0015PK28E,,,47.0,,47.0
B0015TKG68,,,,,13.0
B001647A2K,45.0,45.0,,45.0,45.0
B00168T0KG,,,,36.0,36.0
B00176IIPA,255.0,,255.0,255.0,255.0
B0017HIL74,,,,9.0,
B0018BWKXA,,,,25.0,25.0
B0018L5R9Y,142.0,142.0,142.0,142.0,142.0
B00194BICU,,,,,12.0
B0019N9YTU,12.0,,,,12.0
B001B8K1L8,660.0,660.0,660.0,660.0,660.0
B001BKXLXQ,,,,,7.0
B001C6OZ1G,,,,,98.0
B001DBLPW2,,,,,86.0
B001DD9Q9E,,,,,9.0
B001DT5IC2,,,,,1.0
B001F295R6,,,,,7.0
B001F9W4H2,,,,,1.0
B001FTKYEW,,,15.0,,
B001HBRE6E,,,,,15.0
B001HBXGNY,,,,48.0,48.0
B001JKGOOG,,,125.0,,125.0
B001JKI8SQ,1351.0,,1351.0,1351.0,1351.0
B001M0CHF8,,,,,10.0
B001M0E5XU,,,,,30.0
B001M0E62K,,,615.0,,
B001M0GB82,,,30.0,,30.0
B001M0I4VE,,,,,10.0
B001MXRQRO,,,21.0,21.0,
B001OFA1LI,,,,,8.0
B001OSR3BG,,174.0,,,
B001RYWCOA,396.0,,,,396.0
B001ST3Z54,,,,,3.0
B001U3YCI2,,,,17.0,17.0
B001U99O34,2.0,,,,
B001V9DL1E,,,,168.0,168.0
B001Z1XN8E,,365.0,365.0,365.0,365.0
B0025EKO8W,36.0,36.0,,36.0,36.0
B002CQ2E68,2.0,,,,
B002CX90JK,79.0,,,79.0,
B002CYXLT4,,,,,6.0
B002E0MTTE,,,3.0,,3.0
B002EDFEL6,,,,18.0,
B002FVR3SO,,,12.0,,12.0
B002G9TUL8,34.0,,,,34.0
B002G9TULI,,,,,34.0
B002G9TULS,,,,,34.0
B002GN7WBE,,,,,4.0
B002HLJP06,,,1368.0,,
B002HLN8HC,653.0,,,,653.0
B002HOGAGA,,,,,2.0
B002JG6LLA,8.0,,,8.0,
B002K9VI2I,,,59.0,,
B002LVUWK4,322.0,322.0,322.0,322.0,322.0
B002NGYVC2,,,,,2.0
B002Q88QQY,,,,,133.0
B002RXTXHE,,,,,13.0
B002UZK4VS,,66.0,,,66.0
B002UZR8Z8,27.0,,,,
B002V0ZY2Q,4665.0,4665.0,4665.0,4665.0,4665.0
B002V10AJ2,,,,,71.0
B002VPQ93O,,,,,4.0
B002WBJMZO,,34.0,,,
B002Y1Y1JY,221.0,221.0,221.0,221.0,221.0
B002YEJBZA,47.0,,,47.0,47.0
B002YI1ZF0,9019.0,9019.0,9019.0,9019.0,9019.0
B002YM207S,,,,,3.0
B002ZHER1Y,,,,,3.0
B0034JORLW,,47.0,,47.0,47.0
B0035ER2AO,19.0,,,,
B0037LXX44,193.0,193.0,193.0,,193.0
B0037Y06X2,90.0,,,90.0,90.0
B0038ZF2XE,,,,,10.0
B00396JGR0,,,,234.0,234.0
B0039V8YQ4,,,,,14.0
B003AKE2MY,,11.0,,,11.0
B003AKUC0A,,,,,7.0
