product_id,1.0,2.0,3.0,4.0,5.0
B00009V3SS,,,,19.0,
B0000AY0OQ,,,,6.0,
B0002KO1YY,436.0,436.0,436.0,436.0,436.0
B0002KO20M,436.0,,436.0,,436.0
B0002KO2HU,,,,,91.0
B0002UEOL4,,,113.0,,113.0
B00065TSZ2,,121.0,121.0,121.0,121.0
B000765M9G,,,,,2.0
B0007N5758,1233.0,1233.0,1233.0,1233.0,1233.0
B000ABCHH8,33.0,,33.0,33.0,33.0
B000ABCHHS,,33.0,,,
B000CEMTSU,,,246.0,246.0,246.0
B000FW63GS,,,,,36.0
B000GHOA1W,1.0,,,,
B000HBM6RW,298.0,298.0,298.0,298.0,298.0
B000HBNVNA,,,,,113.0
B000HKG2WS,115.0,115.0,115.0,115.0,115.0
B000ID0H6Q,,26.0,,,26.0
B000LDGNN4,,26.0,26.0,,26.0
B000LNUDZS,,,93.0,,93.0
B000M5WUP6,,,,41.0,41.0
B000M5ZV5M,,,,20.0,20.0
B000N37BEC,19.0,19.0,19.0,19.0,19.0
B000N37E1W,,,,,436.0
B000N9OBVM,42.0,,42.0,42.0,42.0
B000N9RQD2,,17.0,,,17.0
B000OTIT14,,,,,7.0
B000WJ7KQ6,,,,,8.0
B000WJ9QDQ,,256.0,,256.0,256.0
B0013FYYC6,,,,,263.0
B0015A30XI,265.0,265.0,265.0,265.0,265.0
B0016LALHY,,8.0,,,
B0018C4LUE,,,101.0,101.0,101.0
B001B12TBA,,,,,37.0
B001F115FW,,,,23.0,23.0
B001G6WNH0,,,,46.0,
B001HBNG4I,,4.0,,,
B001J85NBS,,,,,14.0
B001RERDAS,298.0,,,298.0,
B001REYQZ8,,,,,41.0
B002RTZXOU,20.0,20.0,20.0,,20.0
B002SSBPQK,230.0,230.0,230.0,230.0,230.0
B002W27Y9E,,,,,76.0
B002YNLVQI,,,,,3.0
B002Z34ULU,278.0,,,278.0,278.0
B003AJB47G,,27.0,,27.0,27.0
B003DL4A8Q,,,,,76.0
B003O6O6IY,,,,,3.0
B003WZPFLE,,,,,436.0
B003YNB9T6,,,,,2.0
B0040MGUKI,,5307.0,5307.0,5307.0,5307.0
B004BTV79Y,1561.0,1561.0,1561.0,1561.0,1561.0
B004D59HAW,,,,140.0,140.0
B004F7LHYW,,,,,30.0
B004LXJXDC,,,,,26.0
B004MN4GHE,,,,2.0,
B004RS3ELS,28.0,,28.0,28.0,28.0
B004VFVFC2,,,,57.0,57.0
B004XG3JQY,,16.0,,,
B0057I91PK,499.0,,,,499.0
B005DUMACI,,,,,2.0
B00638TUAO,,36.0,,36.0,36.0
B006AVJPE0,,,,92.0,
B007IA5M1M,1561.0,,1561.0,1561.0,1561.0
B007KPSAQ4,,,,,1.0
B007UTURN4,471.0,471.0,471.0,471.0,471.0
B008CVLTBS,,,,,1.0
B008QETW4W,46.0,46.0,,,
B008XA667K,,,,,24.0
B0090X2TUW,,,17.0,,17.0
B009BV7DHC,,,,,8.0
B009EQDQYS,,,,,20.0
B00AQM81B2,,,,,6.0
B00AZLKVLM,,,,,44.0
B00B9DEDP0,,200.0,200.0,200.0,200.0
B00BCR51JU,,,,,11.0
B00BOJLCUI,140.0,140.0,,140.0,140.0
B00BPEVXLK,,,,,5.0
B00C7Y5F9S,,,,,23.0
B00CKEPSVK,,,,,3.0
B00CWGM9HW,,,,,16.0
B00CWHAD8S,,,,,37.0
B00CWHGAQ2,,,,,47.0
B00CWHQEF4,8.0,,8.0,,
B00D3OHEKE,,,19.0,,
B00D3OJHIQ,,,,,36.0
B00D5OFHJW,,45.0,,,45.0
B00D5OFJ2M,,,,45.0,45.0
B00DPIW0MA,,,,,38.0
B00DQUSHTW,1.0,,,,
B00EJLSBUM,,,1.0,,
B00EUV3A1Q,,28.0,,,
B00FR2BV4A,,,,,6.0
B00H387XXE,,,,,18.0
B00H8K8M64,,,,,44.0
B00HFLG31W,1561.0,1561.0,1561.0,1561.0,1561.0
B00HV33NJE,617.0,,617.0,617.0,617.0
B00HX00P9G,,,,,139.0
B00IUGFZFQ,432.0,,432.0,432.0,432.0
B00J4Z9V5W,,,,,13.0
B00JH3US6M,,,,,2.0
B00NWGZ3A6,492.0,492.0,492.0,492.0,492.0
B00ODIN4QM,,,,,8.0
B00OI101D8,,,,1233.0,1233.0
B00OKUBZBY,54.0,,,,54.0
B00PP4LCV2,,,53.0,,
B00PPDK0V6,,,,,59.0
B00S5IG2PQ,,,196.0,,196.0
B00VNMM7SW,,,,,4.0
B00WVQ4H0U,218.0,,,,218.0
B00XF3QD2S,,,2.0,,
B00YAZBWZI,129.0,129.0,129.0,129.0,129.0
B011KHEHWS,236.0,236.0,236.0,236.0,236.0
B0122ZJNQC,,,,1.0,
B012A2PZ5K,,,,,617.0
B012BUOAU2,,,,,3.0
B013A91DBM,,,,,11.0
B013P0F2OK,,,,,7.0
B0158WLR56,,,,,9.0
B0160CUGU0,2.0,,,,
B0187DQWR6,,12.0,,,
B018YGNFT4,,269.0,269.0,269.0,269.0
B019MBM654,,,1.0,,
B01AHXWPKW,,,,,11.0
B01F4EABLY,,,11.0,,
B01FLKS1T0,,,,19.0,
B01G7OR0MS,,,,43.0,43.0
B01H2T8VG6,,,,69.0,69.0
B01LJG1Y80,3.0,,,,
B01MRA3NGM,,,,,1.0
B01MTU56EH,,,45.0,45.0,45.0
B01MZYU25Y,,,20.0,20.0,20.0
B01N1LVF0U,,,,8.0,
B01N77ZUJO,1561.0,1561.0,1561.0,,1561.0
B01N7U77PB,78.0,,78.0,78.0,78.0
B06W2N4624,400.0,,400.0,400.0,400.0
B06XF4ZL1N,,,,,182.0
B06Y5Z44NJ,,,,,432.0
B0714LBF76,,53.0,,,53.0
B071GYHRGV,,,,,7.0
B071ZGYJWG,,,,31.0,
B0727SC8R5,,,,,3.0
B072FVNWR7,146.0,146.0,146.0,146.0,146.0
B073577QCJ,,,,,7.0
B073VY2D9C,,,,,39.0
B076DRWMP7,,,,,55.0
B077K452CL,,,,617.0,
B077QCXDKT,45.0,,,,
B077RV45RP,,,,,4.0
B078QH45YH,,,,,79.0
B07B3C7339,,,,,5.0
B07B8542ZL,,,,,3.0
B07DKLWTT2,,,,,29.0
B07DPVH4T3,,,,474.0,474.0
B07DXCY3F4,,,,,57.0
B07H67J44S,,,,,4.0
B07HL4C4R2,,,,,18.0
B07HL8F85J,,,,,16.0
B07KGFS28V,,,,,9.0
B07KWKNCBG,,,,,26.0
B07P8M6YDV,,,17.0,,
B07Q5VJG6G,,,,,1233.0
B07QJH4Z7R,,,,432.0,432.0
B07RZ2PXCL,,,16.0,,16.0
B07VVVNGZP,,,,,39.0
B07XYTL5XW,47.0,,,,
B0811HPWW8,,,,16.0,16.0
B08173SK4Y,463.0,,,463.0,463.0
B081D9MBLL,,,,,43.0
B081S4RR3J,,,,645.0,645.0
B081TF1HBH,,,,,21.0
B082G9BKHW,74.0,74.0,,,74.0
B083WF59H9,,,,,121.0
B0854MKL7V,,,,,25.0
B086RDSYDR,,,,,31.0
B086ZKSPXX,,,,,16.0
B087CC6NLD,,,,,89.0
B087PZSVRR,,,195.0,,195.0
B08CXFR52X,,,,,62.0
B08DFNDNHT,,195.0,,,
B08GC4C5N8,,,126.0,,126.0
B08GZ4WBYS,,,,,14.0
B08HK462JF,,,,,19.0
B08JC84MV4,63.0,,,,63.0
B08L32T57R,,,,,51.0
B08L4JT1HC,,,,,165.0
B08MWPGYFR,,,,,61.0
B08S3625ZC,,13.0,,,
B08ZXMVFTJ,,,,,44.0
B092CSS99H,,,,,5307.0
B094NCRTYH,,,,,7.0
B0973HNRH9,,,,,432.0
B09BFHT757,,,,,68.0
B09NDBF1TQ,29.0,,,,
B09QGWYWCW,,,,,1.0
B09S5T6XPM,,,,,16.0
B09SDDMFV9,6.0,,,,
B09TND6ZB9,,,,,11.0
B09V37LTK8,327.0,,,327.0,327.0
B0BBV8RWWF,,,,,4.0
B0BGL2ZT45,,,,,1.0
B0BM3T6BHL,,,,,1.0
