product_id,1.0,2.0,3.0,4.0,5.0
0735353832,,,,,149.0
0735356238,,,,,214.0
0760369194,,96.0,,96.0,96.0
1338037536,92.0,,,,92.0
1338321498,117.0,,117.0,117.0,117.0
133835521X,,81.0,81.0,81.0,
1403757291,,,,,141.0
1452124965,,7.0,,,
7842952868,,,,,46.0
B00004W42Z,274.0,,,274.0,274.0
B00005ML8N,,,,,13.0
B0006GK2TM,,,23.0,,23.0
B0006GK6YS,416.0,416.0,416.0,416.0,416.0
B0006O028A,,,16.0,,16.0
B00097G51M,1.0,,,,
B000AFKGAE,,,,,12.0
B000AKB3JW,617.0,617.0,617.0,617.0,617.0
B000BUW610,,,,69.0,69.0
B000BVN8ZC,49.0,,49.0,,49.0
B000CIU7H6,1194.0,1194.0,,1194.0,1194.0
B000ESYBI0,,,134.0,134.0,134.0
B000EULZ50,20.0,,,20.0,20.0
B000GAW08O,,,48.0,,48.0
B000JCNS58,1.0,,,,
B000JJJ71K,170.0,170.0,,,
B000JVVO14,,1.0,,,
B000LNG7CQ,51.0,,,,
B000LNLL7C,,,,55.0,
B000NBIRII,,152.0,152.0,152.0,152.0
B000OWEPYQ,4.0,,,,
B000PAQ42S,,,,19.0,19.0
B000QE0SJ8,,,,,41.0
B000S2R9PO,,,,,10.0
B000SQIGPM,465.0,,,465.0,465.0
B000U1W4WG,14.0,,14.0,,14.0
B000UE0DIK,,,2.0,,
B000UVQ4P4,,,,,51.0
B000V070KC,477.0,,,477.0,477.0
B000V0AVK8,218.0,,,,
B000V0C18S,,,477.0,,
B000V96R1G,131.0,131.0,131.0,131.0,131.0
B000VOB2AW,,,,,32.0
B000VX1DPC,,,11.0,,11.0
B000VZ2F4I,33.0,,33.0,,
B000W5SF0K,,555.0,,,
B000W5TYYQ,555.0,555.0,,,555.0
B000WNUGOK,555.0,,555.0,,555.0
B000WR4C6O,69.0,69.0,69.0,,69.0
B000WV1IRQ,,,,,4.0
B000X470BU,127.0,,,127.0,
B000Y0PMTK,165.0,165.0,165.0,165.0,165.0
B000YPMJF0,212.0,212.0,212.0,212.0,212.0
B0015DHK40,,63.0,,63.0,63.0
B00163JNGM,,9.0,,9.0,
B00168DNI6,,,,,74.0
B0016A8XJS,,,,15.0,
B001859AOS,293.0,293.0,293.0,293.0,293.0
B0018A2AOU,,,2.0,2.0,
B0018MQDVE,,,,,73.0
B0018NL2RS,,,,,8.0
B001AUKVCG,,,,20.0,20.0
B001AYC36Y,4.0,,,,
