product_id,1.0,2.0,3.0,4.0,5.0
0735368066,,,,,2.0
0735369569,,,,,3.0
1453065628,,,,3.0,
1837994757,582.0,582.0,582.0,,582.0
2300123568,,27.0,,,
379164825X,,,,,33.0
3901004130,,,,,107.0
6040338369,,,,,4.0
6042354213,,,5.0,,
6148479338,,,113.0,113.0,113.0
7428999812,140.0,,,,
7536468040,,,,,18.0
7811148234,,,9.0,,9.0
8745636974,124.0,,124.0,,124.0
8805001821,,1.0,,,
9533223510,1320.0,1320.0,,,1320.0
9749495748,,131.0,,131.0,131.0
9788076254,,,,,11.0
9790772238,,,,,17.0
9790776381,,,,138.0,138.0
9790781105,,,,493.0,493.0
9790797567,,,782.0,,
9790801084,,,,,18.0
B00000JGVU,88.0,,88.0,88.0,88.0
B00004TMOK,1074.0,1074.0,1074.0,1074.0,1074.0
B000052WVB,,,,,864.0
B000052WWU,,,,,13.0
B000052X9G,331.0,,,331.0,331.0
B000052X9K,,22.0,,,22.0
B000052XGD,41.0,,,41.0,41.0
B000052XTQ,,,,46.0,46.0
B000052XXJ,,,,,6.0
B000052Y69,2575.0,2575.0,2575.0,2575.0,2575.0
B000052Y6A,2575.0,2575.0,2575.0,2575.0,2575.0
B000052YCX,,,,37.0,37.0
B000052YDI,604.0,604.0,604.0,604.0,604.0
B000052YDL,,,,,14.0
B000052YDM,,,,7.0,7.0
B000052YDQ,,,,,46.0
B000052YE4,6445.0,,6445.0,6445.0,6445.0
B000052YE5,6445.0,6445.0,6445.0,6445.0,6445.0
B000052YI1,,,,19.0,19.0
B000052YIA,,,,,17.0
B000052YLF,,,,,139.0
B000052YM4,501.0,501.0,501.0,501.0,501.0
B000052YMG,1234.0,1234.0,1234.0,1234.0,1234.0
B000052YOH,560.0,,560.0,560.0,560.0
B000052YQ3,384.0,,,,384.0
B000052ZEQ,857.0,,857.0,857.0,857.0
B000052ZEU,,857.0,857.0,857.0,857.0
B00005302J,,,,,11.0
B00005302M,,,,3371.0,3371.0
B00005305O,,,,,1.0
B00005309A,33.0,,,33.0,33.0
B0000530BM,,,,,3.0
B0000530BN,74.0,74.0,,74.0,74.0
B0000530HL,,,1.0,,
B0000531C9,,,,,351.0
B0000532A2,38331.0,38331.0,38331.0,38331.0,38331.0
B0000532AG,10.0,10.0,,,10.0
B0000532PW,1589.0,1589.0,1589.0,1589.0,1589.0
B0000533FW,89.0,,89.0,,89.0
B0000535CX,,,,,84.0
