product_id,1.0,2.0,3.0,4.0,5.0
0000657999,,,,83.0,
0326592458,373.0,,,373.0,373.0
0376792108,,,94.0,,94.0
201575900X,,,,4.0,
2546969870,,,,,23.0
2548464326,1.0,,,,
338746598X,,,,,10.0
3652141474,,,,,86.0
4523698562,,,,7.0,
492545644X,,,,,4.0
5258547418,,,3.0,,
5420314207,,,,,4.0
5428763736,,,,,15.0
5442856355,,,,,30.0
5446424018,,,,,5.0
651024781X,,,,101.0,101.0
6663355899,,,,,44.0
6969698556,173.0,,,,173.0
B000052XQO,,,662.0,662.0,662.0
B00006IC2H,,,,,21.0
B00006IZWR,,,,,2.0
B00006RSKR,,,,32.0,
B00006WNLA,7.0,,,,
B00006WNLC,,,,,6.0
B00006WNOV,,,,3.0,
B00006WNQ8,,,,563.0,563.0
B00006WNQU,,,,13.0,
B00007E833,,,,,12.0
B00008WZ1L,,,,,1837.0
B0000B2E8P,,,,,1.0
B0000C6YPD,,,,,361.0
B0000CNR0E,1353.0,1353.0,1353.0,1353.0,1353.0
B0000CNR0J,1353.0,1353.0,1353.0,1353.0,1353.0
B0000CNR1L,1003.0,1003.0,1003.0,1003.0,1003.0
B0000E1VVK,,11.0,,,
B0000YOKSY,,,,68.0,
B0000ZLEGE,,110.0,,,110.0
B0000ZLEGO,,192.0,192.0,,192.0
B0000ZLESM,164.0,,,,164.0
B0000ZLEX2,785.0,785.0,785.0,785.0,785.0
B0000ZLF2W,192.0,,,,192.0
B0000ZLF40,118.0,118.0,,118.0,118.0
B0000ZLF54,66.0,66.0,66.0,,66.0
B00012K8HM,63.0,63.0,,63.0,63.0
B000142Y2M,,,,,4.0
B000146MB6,,,,,51.0
B00017XJZK,,,,,16.0
B000184YF8,,6.0,6.0,,
B0001GZBBQ,,,,,8.0
B0001GZBC0,,,4.0,,
B0001GZBCA,23.0,23.0,,,23.0
B0001GZBCK,,,,21.0,21.0
B0001Q4K0O,,,1444.0,1444.0,1444.0
B0001TREHC,,,,127.0,127.0
B0001U5RHA,,,,,1.0
B000260JPS,158.0,,,158.0,158.0
B000298VV4,,,5.0,,
B00029UZ1S,,5.0,,,
B0002EZWO8,,,,617.0,617.0
B0002KQHF0,,,,,4.0
B0002PVBK6,,,,,2.0
B0002UL3JA,,,,,4.0
B0002YQDY6,,,,,6.0
B0002Z8KKA,,,,,2.0
B0002ZW970,,,,,365.0
B000668118,,,1.0,,
B00066VO3A,,,,,1.0
B0006B0SRI,,,,,3.0
B0006B0VN4,,,494.0,494.0,494.0
B0006B0VNY,1618.0,1618.0,1618.0,1618.0,1618.0
B0006B0W0G,805.0,805.0,805.0,805.0,805.0
B0006B0W1A,,,,,76.0
B0006GC722,,,152.0,,152.0
B0006GQ6NS,,,24.0,,24.0
B0006GT3H4,63.0,,63.0,63.0,63.0
B0006O4P9M,,,,,43.0
